episode_id,timestamp,done_reason,episode_len,episode_return,min_distance,final_distance,min_theta_deg,final_theta_deg
81,2026-05-15 15:19:53,bad_angle,144,-39.73646074225587,617.3844604492188,617.3844604492188,40.86184235112765,114.56527645823844
82,2026-05-15 15:19:54,bad_angle,27,-49.42554901077123,694.3602905273438,694.3602905273438,78.9462155970263,111.51235948416115
83,2026-05-15 15:19:55,low_agl,118,-49.304426002142506,632.1605224609375,632.1605224609375,19.5675425757919,60.91658573551114
84,2026-05-15 15:20:01,low_agl,610,-1.7193031220487,300.46563720703125,300.46563720703125,0.7813458934059555,71.7520114951977
85,2026-05-15 15:20:04,bad_angle,260,-28.44115635631495,544.2333984375,544.2333984375,4.314068288750998,111.98257702738151
86,2026-05-15 15:20:07,low_agl,207,-38.79112413337663,571.2496948242188,571.2496948242188,1.408477000967013,58.05376658641366
87,2026-05-15 15:20:10,low_agl,272,-32.2528384202589,529.025634765625,529.025634765625,3.7467450923269228,97.88730005233379
88,2026-05-15 15:20:13,bad_angle,274,-22.303220562576577,529.2505493164062,529.2505493164062,2.032302723856607,115.17913287970416
89,2026-05-15 15:20:14,bad_angle,113,-42.17993300621569,641.9866333007812,641.9866333007812,41.411061277382956,113.05497819877604
90,2026-05-15 15:20:14,bad_angle,29,-50.06904343096888,694.2085571289062,694.2085571289062,81.8667908257454,113.76854855193478
91,2026-05-15 15:20:15,bad_angle,99,-43.73797549638905,650.1821899414062,650.1821899414062,22.114364730486038,110.56880300126974
92,2026-05-15 15:20:18,low_agl,200,-45.90377173216948,589.6869506835938,589.6869506835938,28.31721639315875,40.246855533354285
93,2026-05-15 15:20:18,bad_angle,30,-49.788473502715945,693.1349487304688,693.1349487304688,82.78979526942425,113.17451333944044
94,2026-05-15 15:20:18,bad_angle,32,-49.756587693833154,691.584716796875,691.584716796875,82.90634561742134,114.6981646187302
95,2026-05-15 15:20:19,bad_angle,56,-46.89376286926485,676.5721435546875,676.5721435546875,41.6480449359203,114.15517824009252
96,2026-05-15 15:20:20,low_agl,102,-55.19168775745358,651.927734375,651.927734375,37.21736269303556,87.00260813816392
97,2026-05-15 15:20:20,bad_angle,26,-50.22034084963872,695.2417602539062,695.2417602539062,83.76813107556936,117.88346431930067
98,2026-05-15 15:20:23,low_agl,231,-46.286254922506785,577.8324584960938,577.8324584960938,8.93661353362916,59.005375862336514
99,2026-05-15 15:20:24,bad_angle,93,-48.31149338739101,661.8978881835938,661.8978881835938,78.2074896571544,115.39556791412353
100,2026-05-15 15:20:26,bad_angle,180,-35.7776842013368,598.914306640625,598.914306640625,20.082325395799298,110.64956315801598
101,2026-05-15 15:20:30,low_agl,395,-21.067271888234586,453.1187744140625,453.1187744140625,13.891952488740198,42.385001856797174
102,2026-05-15 15:20:31,bad_angle,27,-50.38732191059862,695.5463256835938,695.5463256835938,83.3615777256027,117.8798579794189
103,2026-05-15 15:20:33,low_agl,181,-47.668779783040385,601.01171875,601.01171875,43.8352286025093,80.22209493398468
104,2026-05-15 15:20:35,low_agl,228,-38.974498472334254,565.5604248046875,565.5604248046875,20.296871882913155,58.15709368817761
105,2026-05-15 15:20:36,bad_angle,44,-48.92252429008131,684.8004760742188,684.8004760742188,77.84163057426265,112.77762470714934
106,2026-05-15 15:20:38,low_agl,180,-44.7985688687335,598.0390625,598.0390625,15.033389797170635,69.06333484917887
107,2026-05-15 15:20:38,bad_angle,44,-49.02365074863394,686.108642578125,686.108642578125,71.79652383801869,113.05501234972189
108,2026-05-15 15:20:39,bad_angle,47,-49.16202169858284,684.943115234375,684.943115234375,76.70495732277831,110.91370706378788
109,2026-05-15 15:20:41,bad_angle,195,-44.40640600030967,611.6033935546875,611.6033935546875,58.41750148047352,112.17298904106313
110,2026-05-15 15:20:42,low_agl,99,-51.200627147321846,648.0166015625,648.0166015625,23.518928246502043,68.35998928920763
111,2026-05-15 15:20:43,bad_angle,90,-48.87121946561215,665.31640625,665.31640625,81.72661485340923,114.93428425833754
112,2026-05-15 15:20:44,bad_angle,29,-50.13317798407005,693.2994995117188,693.2994995117188,81.42996607737724,118.64161531717208
113,2026-05-15 15:20:46,bad_angle,185,-38.325579709816395,602.919677734375,602.919677734375,36.205005714634616,115.27472820732766
114,2026-05-15 15:20:48,low_agl,171,-48.373435893379295,609.0878295898438,609.0878295898438,38.53567799530724,93.62400525543855
115,2026-05-15 15:20:50,low_agl,226,-41.43615522835822,572.7423095703125,572.7423095703125,26.78789434931058,78.96383748508492
116,2026-05-15 15:20:51,bad_angle,28,-49.62790272766725,694.0641479492188,694.0641479492188,81.66908417003022,114.14653805079246
117,2026-05-15 15:20:52,low_agl,119,-47.00921065118087,631.2749633789062,631.2749633789062,3.393499020954676,7.821900194100045
118,2026-05-15 15:20:54,bad_angle,167,-39.90929142644206,614.3487548828125,614.3487548828125,30.632421710455876,110.77058044973026
119,2026-05-15 15:20:55,low_agl,134,-47.303851770018056,625.2559204101562,625.2559204101562,16.182065398573993,73.70251544666742
120,2026-05-15 15:20:56,bad_angle,26,-50.439844466682004,695.7735595703125,695.7735595703125,86.19872902379927,112.74623315772396
121,2026-05-15 15:20:56,bad_angle,26,-50.438631525763256,694.6245727539062,694.6245727539062,82.6186375590129,114.99742252702514
122,2026-05-15 15:20:57,low_agl,132,-48.83340702703305,628.3968505859375,628.3968505859375,6.6576137684618,68.27366935847702
123,2026-05-15 15:21:10,bad_angle,1102,50.894254272574116,77.1138687133789,77.41950988769531,2.433089046286258,114.59007687511475
124,2026-05-15 15:21:13,low_agl,256,-40.30050422711271,560.5606689453125,560.5606689453125,23.93504215375944,60.29187614345427
125,2026-05-15 15:21:16,bad_angle,296,-25.516420206196162,530.4848022460938,530.4848022460938,4.38150488086065,115.47392384428191
126,2026-05-15 15:21:16,bad_angle,26,-50.41855489164967,694.7836303710938,694.7836303710938,88.84797498773963,130.98559763808268
127,2026-05-15 15:21:19,low_agl,250,-37.14133284595191,558.1087036132812,558.1087036132812,0.3488659190822851,61.385184523898204
128,2026-05-15 15:21:22,low_agl,300,-24.98064622760593,513.8167114257812,513.8167114257812,0.7391343638399247,49.25046553877846
129,2026-05-15 15:21:28,low_agl,517,-23.541634880942475,416.0610046386719,416.0610046386719,10.393622657187109,81.47413008055054
130,2026-05-15 15:21:28,bad_angle,26,-49.77385204631484,694.321533203125,694.321533203125,80.99428880078963,110.23926686438413
131,2026-05-15 15:21:30,low_agl,170,-44.20941353921392,603.8428955078125,603.8428955078125,13.143642085915479,63.334117531858816
132,2026-05-15 15:21:35,bad_angle,374,-12.571960930641282,479.2210998535156,479.2210998535156,0.6333471666751507,112.5991518641369
133,2026-05-15 15:21:35,low_agl,81,-51.686261621000625,657.8759155273438,657.8759155273438,11.923719927506074,61.68145763952585
134,2026-05-15 15:21:39,bad_angle,304,-24.974381290053532,531.4014282226562,531.4014282226562,4.146426418214912,111.31320482834192
135,2026-05-15 15:21:41,low_agl,139,-45.11193735130364,621.8837890625,621.8837890625,4.2149140056831,60.485546157369974
136,2026-05-15 15:21:42,low_agl,102,-53.96302615090255,652.0082397460938,652.0082397460938,47.34462760938604,55.30680110601793
137,2026-05-15 15:21:45,low_agl,259,-34.58546157627252,548.3628540039062,548.3628540039062,7.299712595258706,49.42978532524797
138,2026-05-15 15:21:46,low_agl,141,-47.227304174476174,623.964599609375,623.964599609375,5.158600262168742,33.64807658751615
139,2026-05-15 15:21:46,bad_angle,26,-49.96151886693835,693.958984375,693.958984375,88.75020082977089,110.47287982456609
140,2026-05-15 15:21:50,low_agl,369,-28.762754864346125,494.53643798828125,494.53643798828125,9.647117985624213,65.93619420939106
141,2026-05-15 15:21:51,low_agl,81,-53.93409646328053,662.1214599609375,662.1214599609375,38.89154451144324,53.38946113806322
142,2026-05-15 15:21:52,bad_angle,46,-49.77474431451219,685.5345458984375,685.5345458984375,80.3305515078153,113.94025267747973
143,2026-05-15 15:21:52,bad_angle,26,-51.033245308439646,695.8231811523438,695.8231811523438,81.8974037336054,131.16857840594733
144,2026-05-15 15:21:55,low_agl,300,-34.521574595320885,531.6453247070312,531.6453247070312,25.455932329077225,70.40473619084518
145,2026-05-15 15:21:56,bad_angle,65,-48.08009447903283,674.662109375,674.662109375,61.572290726021535,110.37589796854108
146,2026-05-15 15:21:57,bad_angle,108,-42.47674913710621,647.1632690429688,647.1632690429688,21.82729870985957,111.71771595174675
147,2026-05-15 15:21:58,bad_angle,44,-50.00181803518813,686.88232421875,686.88232421875,84.0834945699272,113.56641593363743
148,2026-05-15 15:21:58,bad_angle,26,-50.42949431136697,695.6912231445312,695.6912231445312,84.56111603820784,136.19729152199088
149,2026-05-15 15:21:58,bad_angle,57,-48.3997428526205,679.183349609375,679.183349609375,69.51601246661063,112.20445572256938
150,2026-05-15 15:21:59,bad_angle,26,-50.30065086625518,695.1604614257812,695.1604614257812,81.37002433722121,136.70847653985297
151,2026-05-15 15:22:01,low_agl,190,-41.85278341456362,593.774658203125,593.774658203125,4.755263504414326,40.25702910012302
152,2026-05-15 15:22:03,low_agl,204,-40.913541445184855,584.6611328125,584.6611328125,13.233183304613409,80.45537321489729
153,2026-05-15 15:22:05,low_agl,187,-43.58889675622467,597.8904418945312,597.8904418945312,0.1876718538443974,86.32849578784034
154,2026-05-15 15:22:07,low_agl,136,-51.35498712218353,632.3270263671875,632.3270263671875,18.32187487307978,41.60446149882645
155,2026-05-15 15:22:07,bad_angle,40,-49.45206088144562,687.6264038085938,687.6264038085938,79.38338185485296,119.79233826777916
156,2026-05-15 15:22:08,low_agl,96,-49.84395471895084,649.5414428710938,649.5414428710938,4.244962996049748,38.098030209144085
157,2026-05-15 15:22:08,bad_angle,26,-50.00529204239314,694.7180786132812,694.7180786132812,80.84824569595642,112.2298025545793
158,2026-05-15 15:22:10,low_agl,198,-39.56985947667236,583.0963745117188,583.0963745117188,5.107988560418947,71.02188476349086
159,2026-05-15 15:22:12,low_agl,146,-46.44720111508276,619.6446533203125,619.6446533203125,14.82960768818872,71.73509994681275
160,2026-05-15 15:22:15,low_agl,247,-33.82070518372558,554.6546630859375,554.6546630859375,6.560078240227195,71.20767956929355
161,2026-05-15 15:22:15,bad_angle,26,-50.50219845900538,695.3278198242188,695.3278198242188,81.6893356809193,144.2316430426769
162,2026-05-15 15:22:16,low_agl,126,-46.50310242727104,630.6394653320312,630.6394653320312,6.50511528108928,23.79630905888543
163,2026-05-15 15:22:20,low_agl,358,-39.93817637274018,515.9046630859375,515.9046630859375,16.942617207938667,78.64038021656063
164,2026-05-15 15:22:24,low_agl,301,-39.57012939112117,539.6301879882812,539.6301879882812,2.3384149404270653,68.95335514316332
165,2026-05-15 15:22:25,low_agl,108,-50.00945064863995,643.5316772460938,643.5316772460938,12.790845739811395,12.790845739811395
166,2026-05-15 15:22:27,low_agl,193,-42.82882460086505,592.0364379882812,592.0364379882812,5.45197481626736,58.58978617209792
167,2026-05-15 15:22:28,bad_angle,72,-49.343471497157964,672.377685546875,672.377685546875,81.78269753668421,111.84358267777175
168,2026-05-15 15:22:28,bad_angle,26,-50.27522249939162,694.6555786132812,694.6555786132812,81.86165452348955,111.89849739869865
169,2026-05-15 15:22:28,bad_angle,26,-50.54959114181623,695.4328002929688,695.4328002929688,84.80629250865462,114.18523790262975
170,2026-05-15 15:22:30,low_agl,114,-49.002316786169644,637.494140625,637.494140625,8.182996927592987,70.94204668228258
171,2026-05-15 15:22:30,bad_angle,27,-50.0679016575339,693.719970703125,693.719970703125,81.172959719288,114.17570978873759
172,2026-05-15 15:22:30,bad_angle,26,-50.34845554283484,694.8302001953125,694.8302001953125,82.61899955903891,148.83971212849602
173,2026-05-15 15:22:32,bad_angle,160,-41.49877942106433,620.8563842773438,620.8563842773438,45.941088621745536,113.8863693151175
174,2026-05-15 15:22:35,low_agl,263,-31.475888344854745,544.9735107421875,544.9735107421875,3.639756155394197,17.807778487083965
175,2026-05-15 15:22:38,bad_angle,263,-39.20850154242037,570.372314453125,570.372314453125,50.08188739097118,112.9694369096108
176,2026-05-15 15:22:43,low_agl,432,-15.072416649889334,444.3787536621094,444.3787536621094,1.7553543478250457,80.16491259025332
177,2026-05-15 15:22:45,bad_angle,206,-35.94396673732254,593.6700439453125,593.6700439453125,19.492702485508776,110.88783430721188
178,2026-05-15 15:22:47,low_agl,176,-40.66322886761843,597.5156860351562,597.5156860351562,0.5028000535214046,61.9057542216799
179,2026-05-15 15:22:49,low_agl,237,-40.95140786726296,572.5614013671875,572.5614013671875,22.69499740428153,68.19101040914153
180,2026-05-15 15:22:49,bad_angle,26,-49.99586293530604,694.6170654296875,694.6170654296875,80.96198883620464,111.25322210705087
181,2026-05-15 15:22:52,low_agl,227,-41.32585694371702,575.8202514648438,575.8202514648438,23.01737550291696,89.39753883854802
182,2026-05-15 15:22:53,low_agl,83,-51.84411526106645,657.9866333007812,657.9866333007812,3.9822158639631122,49.41785639986254
183,2026-05-15 15:22:55,low_agl,156,-46.55143781828928,614.9512939453125,614.9512939453125,15.587517921891893,78.34129306299494
184,2026-05-15 15:22:55,bad_angle,26,-49.84213589080661,694.6588745117188,694.6588745117188,83.51130913258771,110.76272573218475
185,2026-05-15 15:22:55,bad_angle,26,-49.93897859757486,694.3129272460938,694.3129272460938,82.5103107587765,111.55716552511645
186,2026-05-15 15:22:56,bad_angle,40,-49.84484387388793,688.0767822265625,688.0767822265625,85.14105374025529,117.11187150914267
187,2026-05-15 15:23:01,low_agl,514,-29.7411654137376,426.8107604980469,426.8107604980469,31.45619375077819,91.26144965172031
188,2026-05-15 15:23:05,low_agl,370,-28.56079150769957,493.0812072753906,493.0812072753906,4.690016414820486,42.203103673915976
189,2026-05-15 15:23:06,bad_angle,34,-49.358793638031166,690.2715454101562,690.2715454101562,76.11659799748423,110.49888235473632
