episode_id,timestamp,update_id,done_reason,episode_len,logged_steps,episode_return,sum_reward_from_steps,dense_no_terminal,start_distance,min_distance,final_distance,min_theta_deg,final_theta_deg,max_alignment,final_closing_speed,final_agl,reward_step_penalty,reward_distance,reward_alignment,reward_theta_progress,reward_closing,reward_final_approach,reward_terminal,pos_delta_frac,pos_closing_frac,pos_alignment_reward_frac,gate_zero_steps,gate_zero_base
43,2026-05-15 15:19:02,6043,low_agl,110,110,-53.22370290554664,-53.22370290554664,6.776297094453362,706.5185546875,643.0682983398438,643.0682983398438,35.3346108030378,69.98905770814739,0.8157883733133067,32.578834533691406,0.44418373703956604,-0.5500000000000004,3.172512817382813,1.0643317405750101,-0.07404636296429826,3.1634988994598396,0.0,-60.0,1.0,1.0,0.6181818181818182,1,0.000669624379165329
44,2026-05-15 15:19:06,6396,low_agl,353,353,-29.632996241975995,-29.632996241975995,30.367003758024005,706.94921875,484.06121826171875,484.06121826171875,0.5898349129590555,50.88520984491848,0.999947011472055,36.74714279174805,0.41915714740753174,-1.7649999999999844,11.144400024414068,10.220361394887398,-0.3591460012737482,11.126388339996339,0.0,-60.0,1.0,1.0,0.8158640226628895,0,0.0
45,2026-05-15 15:19:06,6458,bad_angle,62,62,-48.692286489744355,-48.692286489744355,1.3077135102556454,707.3011474609375,677.8284912109375,677.8284912109375,77.76220230440458,114.1500624284042,0.21196954605811816,21.589052200317383,7.575748920440674,-0.31000000000000016,1.4736328124999998,-1.1568128940916564,-0.17985986617577376,1.4807534580230715,0.0,-50.0,1.0,1.0,0.0,1,0.0011969546058118148
46,2026-05-15 15:19:06,6484,bad_angle,26,26,-50.71469531893433,-50.71469531893433,-0.7146953189343321,707.030029296875,695.7168579101562,695.7168579101562,84.49264339177847,145.19394839483996,0.09597355765059054,18.17741584777832,2.1913645267486572,-0.13000000000000003,0.5656585693359374,-1.4355106003622609,-0.2999839586843714,0.5851406707763672,0.0,-50.0,1.0,1.0,0.0,0,0.0
47,2026-05-15 15:19:08,6604,low_agl,120,120,-51.31846422217205,-51.31846422217205,8.681535777827953,707.1652221679688,635.2314453125,635.2314453125,52.891892102311544,63.03060441571096,0.603320847416318,31.194456100463867,0.5353571176528931,-0.6000000000000004,3.5966888427734385,2.150796052411064,-0.05070470779539223,3.584755590438843,0.0,-60.0,1.0,1.0,0.9166666666666666,1,0.0030634767589898166
48,2026-05-15 15:19:12,6945,low_agl,341,341,-26.992472542107684,-26.992472542107684,33.007527457892316,706.53369140625,481.9110107421875,481.9110107421875,4.766414215121195,86.2998977857855,0.9965417385340086,26.678586959838867,0.46687260270118713,-1.7049999999999856,11.231134033203128,12.733883440480344,-0.48293151550122543,11.230441499710079,0.0,-60.0,1.0,1.0,0.7859237536656891,0,0.0
49,2026-05-15 15:19:12,6980,bad_angle,35,35,-50.248558930078964,-50.248558930078964,-0.24855893007896412,706.6473999023438,691.0684204101562,691.0684204101562,83.9294055022517,114.17012952418568,0.10575374042763644,20.13750457763672,3.7166411876678467,-0.17500000000000007,0.7789489746093748,-1.4651951848478892,-0.17661865283911019,0.7893059329986573,0.0,-50.0,1.0,1.0,0.0,0,0.0
50,2026-05-15 15:19:14,7189,low_agl,209,209,-44.3089160903448,-44.3089160903448,15.691083909655198,706.5633544921875,578.2933959960938,578.2933959960938,27.619261559989948,75.3613908111451,0.8860477793886975,30.929725646972656,0.5928711295127869,-1.0449999999999997,6.413497924804688,4.143659099168311,-0.22526348678484406,6.404190372467042,0.0,-60.0,1.0,1.0,0.6985645933014354,0,0.0
51,2026-05-15 15:19:15,7325,bad_angle,136,136,-43.33863675115982,-43.33863675115982,6.661363248840182,707.311279296875,633.8143310546875,633.8143310546875,34.18898658864614,110.04834258651478,0.827188602824041,19.79467010498047,3.2900283336639404,-0.6800000000000005,3.674847412109375,0.23505329825080462,-0.2544709370143742,3.6859334754943847,0.0,-50.0,1.0,1.0,0.5735294117647058,0,0.0
52,2026-05-15 15:19:17,7462,low_agl,137,137,-48.09647991765184,-48.09647991765184,11.903520082348159,707.0524291992188,619.6412353515625,619.6412353515625,38.40610589165751,80.48393706600628,0.7836272584531424,35.56092071533203,0.380725622177124,-0.6850000000000005,4.370559692382812,4.028730197184617,-0.1788373349902737,4.368067527770996,0.0,-60.0,1.0,1.0,0.9781021897810219,0,0.0
