timestamp,update_id,loss,policy_loss,value_loss,entropy,kl,clip_frac,alpha,q1_loss,q2_loss,gamma,lam,lr
2026-05-09 17:43:44,19000,-8.30925178527832,-1.441876769065857,0.02801738679409027,2.0306143760681152,-6.895392894744873,0.24729761481285095,0.24729761481285095,0.014473708346486092,0.013543677516281605,0.995,0.0,3e-05
2026-05-09 17:43:50,19500,-8.523528099060059,-1.4673655033111572,0.010276243090629578,2.0383100509643555,-7.066438674926758,0.2471701055765152,0.2471701055765152,0.005250602960586548,0.005025640595704317,0.995,0.0,3e-05
2026-05-09 17:43:57,20000,-8.613330841064453,-1.4896173477172852,0.010054504498839378,1.9799582958221436,-7.133768081665039,0.24704280495643616,0.24704280495643616,0.005755838938057423,0.004298665560781956,0.995,0.0,3e-05
2026-05-09 17:44:03,20500,-7.953089714050293,-1.5292096138000488,0.657375156879425,2.0026488304138184,-7.0812554359436035,0.2469237893819809,0.2469237893819809,0.32367613911628723,0.3336990177631378,0.995,0.0,3e-05
2026-05-09 17:44:10,21000,-7.93243408203125,-1.5616960525512695,0.6351945996284485,2.056269645690918,-7.005932807922363,0.24679739773273468,0.24679739773273468,0.31618356704711914,0.31901103258132935,0.995,0.0,3e-05
2026-05-09 17:44:16,21500,-8.60466480255127,-1.6083482503890991,0.009468305855989456,2.0451607704162598,-7.00578498840332,0.24667949974536896,0.24667949974536896,0.004984584636986256,0.0044837212190032005,0.995,0.0,3e-05
2026-05-09 17:44:23,22000,-8.644933700561523,-1.63960599899292,0.007218632847070694,2.0832066535949707,-7.012546539306641,0.2465539127588272,0.2465539127588272,0.0037805454339832067,0.0034380871802568436,0.995,0.0,3e-05
2026-05-09 17:44:30,22500,-8.782610893249512,-1.662632703781128,0.01590772531926632,2.0574676990509033,-7.135886192321777,0.24642857909202576,0.24642857909202576,0.00760600995272398,0.00830171536654234,0.995,0.0,3e-05
2026-05-09 17:44:36,23000,-8.682943344116211,-1.674560308456421,0.010050028562545776,2.058236598968506,-7.018433570861816,0.2463114857673645,0.2463114857673645,0.0053308685310184956,0.0047191595658659935,0.995,0.0,3e-05
2026-05-09 17:44:43,23500,-8.71821403503418,-1.6994450092315674,0.011937900446355343,2.0045790672302246,-7.030706882476807,0.24618695676326752,0.24618695676326752,0.006117533892393112,0.005820366553962231,0.995,0.0,3e-05
